السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت
2023,1,منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,25,6,1,1,33
2023,1,منطقة نجران,تشييد المباني,2727,374,44,8,3153
2023,1,منطقة نجران,تعدين الفحم والليغنيت,1,0,0,0,1
2023,1,منطقة نجران,تعدين ركازات الفلزات,3,1,0,0,4
2023,1,منطقة نجران,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,0,0,0,2
2023,1,منطقة نجران,توصيل الكهرباء والغاز والبخار وتكييف الهواء,7,1,0,0,8
2023,1,منطقة نجران,"صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر",86,2,0,0,88
2023,1,منطقة نجران,صُنع المشروبات,5,2,2,0,9
2023,1,منطقة نجران,صُنع الملبوسات,417,20,1,0,438
2023,1,منطقة نجران,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,0,0,0,3
2023,1,منطقة نجران,صُنع المنتجات الغذائية,179,18,0,0,197
2023,1,منطقة نجران,صُنع المنسوجات,51,3,0,0,54
2023,1,منطقة نجران,صُنع المواد الكيميائية والمنتجات الكيميائية,10,5,3,0,18
2023,1,منطقة نجران,صُنع الورق ومنتجات الورق,20,2,0,0,22
2023,1,منطقة نجران,صناعة الآلات والمعدات غير المصنفة في موضع أخر,10,1,1,0,12
2023,1,منطقة نجران,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,0,0,0,8
2023,1,منطقة نجران,صناعة معدات النقل الأخرى,3,1,0,0,4
2023,1,منطقة نجران,صنع الأثاث,109,15,3,0,127
2023,1,منطقة نجران,صنع الحواسيب والمنتجات الإلكترونية والبصرية,5,0,0,0,5
2023,1,منطقة نجران,صنع الفلزات القاعدية,38,1,1,1,41
2023,1,منطقة نجران,صنع المعدات الكهربائية,7,2,0,0,9
2023,1,منطقة نجران,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,3,1,0,0,4
2023,1,منطقة نجران,صنع منتجات المطاط واللدائن,11,3,3,0,17
2023,1,منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,77,35,25,1,138
2023,1,منطقة نجران,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),343,14,1,0,358
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,2197,20,0,0,2217
2023,1,منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,15,4,0,0,19
2023,1,منطقة نجران,غير معرف,3306,46,0,0,3352
