السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت
2023,1,منطقة مكة المكرمة,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1
2023,1,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,70,37,8,5,120
2023,1,منطقة مكة المكرمة,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,606,145,13,1,765
2023,1,منطقة مكة المكرمة,أنشطة البرمجة والإذاعة,23,10,1,0,34
2023,1,منطقة مكة المكرمة,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,99,30,6,3,138
2023,1,منطقة مكة المكرمة,أنشطة التشييد المتخصصة,11485,1988,221,52,13746
2023,1,منطقة مكة المكرمة,أنشطة الخدمات الشخصية الأخرى,9360,743,18,0,10121
2023,1,منطقة مكة المكرمة,"أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات",346,104,19,2,471
2023,1,منطقة مكة المكرمة,"أنشطة العمل الاجتماعي، دون إقامة",420,269,22,0,711
2023,1,منطقة مكة المكرمة,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,2,0,0,3
2023,1,منطقة مكة المكرمة,"أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل",962,396,27,7,1392
2023,1,منطقة مكة المكرمة,"أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة",247,79,4,0,330
2023,1,منطقة مكة المكرمة,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,66,4,1,0,71
2023,1,منطقة مكة المكرمة,أنشطة المنظمات ذات العضوية,246,23,4,1,274
2023,1,منطقة مكة المكرمة,أنشطة النشر,102,17,4,0,123
2023,1,منطقة مكة المكرمة,أنشطة تقديم الخدمات للمباني وتجميل المواقع,2783,845,231,62,3921
2023,1,منطقة مكة المكرمة,"أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد",93,56,5,5,159
2023,1,منطقة مكة المكرمة,أنشطة خدمات الأطعمة والمشروبات,17409,4536,301,24,22270
2023,1,منطقة مكة المكرمة,أنشطة خدمات المعلومات,124,48,4,0,176
2023,1,منطقة مكة المكرمة,أنشطة خدمات دعم التعدين,31,9,3,2,45
2023,1,منطقة مكة المكرمة,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,2098,107,9,3,2217
